"client_code","product","push_notification"
"1","Инвестиции (брокерский счёт)","Айгерим, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"2","Инвестиции (брокерский счёт)","Данияр, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"3","Инвестиции (брокерский счёт)","Сабина, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"4","Инвестиции (брокерский счёт)","Тимур, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"5","Инвестиции (брокерский счёт)","Камилла, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"6","Инвестиции (брокерский счёт)","Аян, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"7","Инвестиции (брокерский счёт)","Руслан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"8","Инвестиции (брокерский счёт)","Мадина, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"9","Инвестиции (брокерский счёт)","Арман, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"10","Инвестиции (брокерский счёт)","Карина, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"11","Инвестиции (брокерский счёт)","Бауржан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"12","Инвестиции (брокерский счёт)","Жанар, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"13","Инвестиции (брокерский счёт)","Алина, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"14","Инвестиции (брокерский счёт)","Диас, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"15","Инвестиции (брокерский счёт)","Нурия, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"16","Депозит мультивалютный","Ерасыл, у вас остаются свободные средства 46 630 ₸. Депозит мультивалютный — проценты и удобное хранение валюты. Открыть вклад."
"17","Инвестиции (брокерский счёт)","Жанель, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"18","Инвестиции (брокерский счёт)","Санжар, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"19","Инвестиции (брокерский счёт)","Азамат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"20","Инвестиции (брокерский счёт)","Анель, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"21","Инвестиции (брокерский счёт)","Павел, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"22","Инвестиции (брокерский счёт)","Аружан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"23","Инвестиции (брокерский счёт)","Темирлан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"24","Инвестиции (брокерский счёт)","Гульмира, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"25","Инвестиции (брокерский счёт)","Адиль, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
